ticker,date,open,high,low,close
1INCH,2021-01-08,1.3,1.357,1.143,1.2
1INCH,2021-01-09,1.2,1.34,1.114,1.244
1INCH,2021-01-10,1.244,1.547,1.1,1.224
1INCH,2021-01-11,1.224,1.224,0.9543,1.127
1INCH,2021-01-12,1.127,1.21,1.049,1.117
1INCH,2021-01-13,1.117,1.325,1.054,1.274
1INCH,2021-01-14,1.274,1.403,1.265,1.329
1INCH,2021-01-15,1.329,1.534,1.161,1.348
1INCH,2021-01-16,1.348,1.832,1.342,1.644
1INCH,2021-01-17,1.644,2.166,1.581,2.012
1INCH,2021-01-18,2.012,2.077,1.763,1.88
1INCH,2021-01-19,1.88,2.097,1.811,1.903
1INCH,2021-01-20,1.903,1.979,1.639,1.846
1INCH,2021-01-21,1.846,1.897,1.541,1.589
1INCH,2021-01-22,1.589,1.85,1.417,1.761
1INCH,2021-01-23,1.761,1.999,1.715,1.949
1INCH,2021-01-24,1.949,2.498,1.888,2.491
1INCH,2021-01-25,2.491,2.713,2.302,2.358
1INCH,2021-01-26,2.358,2.686,2.18,2.686
1INCH,2021-01-27,2.686,2.733,2.233,2.518
1INCH,2021-01-28,2.518,3.368,2.44,3.122
1INCH,2021-01-29,3.122,3.5,2.85,3.341
1INCH,2021-01-30,3.341,4.676,3.187,4.565
1INCH,2021-01-31,4.565,5.555,4.468,4.94
1INCH,2021-02-01,4.94,5.339,4.364,5.053
1INCH,2021-02-02,5.053,5.108,4.503,4.665
1INCH,2021-02-03,4.665,5.274,4.46,5.037
1INCH,2021-02-04,5.037,6.1,4.59,5.598
1INCH,2021-02-05,5.598,6.325,5.497,5.824
1INCH,2021-02-06,5.824,5.947,5.11,5.247
1INCH,2021-02-07,5.247,5.3,4.317,4.974
1INCH,2021-02-08,4.974,5.492,4.699,5.347
1INCH,2021-02-09,5.347,5.369,4.835,5.054
1INCH,2021-02-10,5.054,5.439,4.516,4.854
1INCH,2021-02-11,4.854,5.99,4.694,5.65
1INCH,2021-02-12,5.65,5.817,5.024,5.263
1INCH,2021-02-13,5.263,6.051,5.112,5.694
1INCH,2021-02-14,5.694,6.273,4.75,5.272
1INCH,2021-02-15,5.272,5.525,4.2,4.95
1INCH,2021-02-16,4.95,5.194,4.56,4.774
1INCH,2021-02-17,4.774,5.073,4.362,4.85
1INCH,2021-02-18,4.85,5.177,4.7,4.775
1INCH,2021-02-19,4.775,4.88,4.5,4.591
1INCH,2021-02-20,4.591,5.868,4.338,5.164
1INCH,2021-02-21,5.164,5.488,4.924,5.06
1INCH,2021-02-22,5.06,5.06,3.65,4.554
1INCH,2021-02-23,4.554,4.555,2.914,3.688
1INCH,2021-02-24,3.688,4.15,3.39,3.639
1INCH,2021-02-25,3.639,4.65,3.519,3.906
1INCH,2021-02-26,3.906,5.182,3.77,4.509
1INCH,2021-02-27,4.509,4.877,4.0,4.157
1INCH,2021-02-28,4.157,4.161,3.519,3.817
1INCH,2021-03-01,3.817,4.23,3.792,4.103
1INCH,2021-03-02,4.103,4.374,3.81,4.022
1INCH,2021-03-03,4.022,4.317,3.998,4.07
1INCH,2021-03-04,4.07,4.235,3.755,3.848
1INCH,2021-03-05,3.848,3.848,3.52,3.73
1INCH,2021-03-06,3.73,3.856,3.613,3.856
1INCH,2021-03-07,3.856,4.107,3.783,4.0
1INCH,2021-03-08,4.0,4.459,3.476,4.311
1INCH,2021-03-09,4.311,5.251,4.214,4.433
1INCH,2021-03-10,4.433,4.525,3.52,4.005
1INCH,2021-03-11,3.991,4.143,3.907,4.003
1INCH,2021-03-12,4.003,4.14,3.696,3.803
1INCH,2021-03-13,3.803,4.229,3.634,4.101
1INCH,2021-03-14,4.101,4.217,3.835,3.841
1INCH,2021-03-15,3.841,4.377,3.733,3.938
1INCH,2021-03-16,3.938,4.638,3.792,4.556
1INCH,2021-03-17,4.556,5.006,4.255,5.006
1INCH,2021-03-18,5.006,5.094,4.546,4.567
1INCH,2021-03-19,4.567,5.241,4.468,4.89
1INCH,2021-03-20,4.89,5.195,4.683,4.692
1INCH,2021-03-21,4.692,4.793,4.51,4.67
1INCH,2021-03-22,4.67,4.847,4.212,4.3
1INCH,2021-03-23,4.3,4.467,4.002,4.088
1INCH,2021-03-24,4.088,4.34,3.629,3.724
1INCH,2021-03-25,3.724,3.871,3.573,3.667
1INCH,2021-03-26,3.667,4.035,3.666,4.003
1INCH,2021-03-27,4.003,4.064,3.803,3.997
1INCH,2021-03-28,3.997,4.227,3.938,4.085
1INCH,2021-03-29,4.085,4.628,4.025,4.599
1INCH,2021-03-30,4.599,4.687,4.435,4.507
1INCH,2021-03-31,4.507,4.548,4.176,4.34
1INCH,2021-04-01,4.34,4.513,4.264,4.448
1INCH,2021-04-02,4.448,4.696,4.389,4.672
1INCH,2021-04-03,4.672,4.798,4.237,4.246
1INCH,2021-04-04,4.246,4.699,4.158,4.569
1INCH,2021-04-05,4.569,5.367,4.423,5.306
1INCH,2021-04-06,5.306,5.827,5.179,5.18
1INCH,2021-04-07,5.18,5.869,4.55,5.56
1INCH,2021-04-08,5.56,6.556,5.47,6.197
1INCH,2021-04-09,6.197,6.666,5.944,6.101
1INCH,2021-04-10,6.101,6.11,5.535,5.736
1INCH,2021-04-11,5.736,5.942,5.544,5.673
1INCH,2021-04-12,5.673,5.83,5.272,5.496
1INCH,2021-04-13,5.496,5.799,5.42,5.61
1INCH,2021-04-14,5.61,6.012,5.457,5.879
1INCH,2021-04-15,5.879,6.4,5.778,6.09
1INCH,2021-04-16,6.09,6.144,5.606,5.82
1INCH,2021-04-17,5.82,6.532,5.811,6.479
1INCH,2021-04-18,6.479,6.656,4.636,5.292
1INCH,2021-04-19,5.292,5.463,4.722,4.852
1INCH,2021-04-20,4.852,5.201,4.435,5.032
1INCH,2021-04-21,5.032,5.281,4.867,5.024
1INCH,2021-04-22,5.024,5.323,4.571,4.599
1INCH,2021-04-23,4.599,4.694,3.777,4.281
1INCH,2021-04-24,4.281,4.286,3.925,3.954
1INCH,2021-04-25,3.954,4.249,3.803,3.999
1INCH,2021-04-26,3.999,4.574,3.954,4.549
1INCH,2021-04-27,4.549,5.156,4.469,5.128
1INCH,2021-04-28,5.128,5.756,4.713,5.556
1INCH,2021-04-29,5.556,5.904,5.232,5.472
1INCH,2021-04-30,5.472,5.752,5.342,5.648
1INCH,2021-05-01,5.648,5.754,5.365,5.521
1INCH,2021-05-02,5.521,5.531,5.168,5.36
1INCH,2021-05-03,5.36,5.943,5.355,5.865
1INCH,2021-05-04,5.865,5.911,5.217,5.245
1INCH,2021-05-05,5.245,6.288,5.202,5.986
1INCH,2021-05-06,5.986,7.556,5.895,6.604
1INCH,2021-05-07,6.604,7.119,6.314,6.58
1INCH,2021-05-08,6.58,7.88,6.48,7.492
1INCH,2021-05-09,7.492,7.532,6.734,7.08
1INCH,2021-05-10,7.08,7.192,5.678,6.19
1INCH,2021-05-11,6.19,6.536,5.813,6.53
1INCH,2021-05-12,6.53,6.92,5.57,5.591
1INCH,2021-05-13,5.591,6.079,5.179,5.584
1INCH,2021-05-14,5.584,5.94,5.388,5.742
1INCH,2021-05-15,5.742,6.051,5.252,5.264
1INCH,2021-05-16,5.264,5.264,5.129,5.129
1INCH,2021-05-17,5.129,5.147,4.464,4.703
1INCH,2021-05-18,4.703,5.401,4.658,5.273
1INCH,2021-05-19,5.273,5.421,2.7,3.231
1INCH,2021-05-20,3.231,3.961,2.772,3.608
1INCH,2021-05-21,3.608,3.815,2.655,3.119
1INCH,2021-05-22,3.119,3.222,2.648,2.726
1INCH,2021-05-23,2.726,2.888,1.787,2.342
1INCH,2021-05-24,2.342,3.011,2.293,2.947
1INCH,2021-05-25,2.947,3.101,2.539,2.893
1INCH,2021-05-26,2.893,3.467,2.837,3.429
1INCH,2021-05-27,3.429,3.441,2.977,3.273
1INCH,2021-05-28,3.273,3.369,2.611,2.76
1INCH,2021-05-29,2.76,2.978,2.444,2.566
1INCH,2021-05-30,2.566,2.978,2.409,2.882
1INCH,2021-05-31,2.882,3.288,2.753,3.21
1INCH,2021-06-01,3.21,3.268,2.991,3.121
1INCH,2021-06-02,3.121,3.566,3.042,3.374
1INCH,2021-06-03,3.374,3.594,3.331,3.494
1INCH,2021-06-04,3.494,3.683,3.109,3.38
1INCH,2021-06-05,3.38,4.004,3.34,3.683
1INCH,2021-06-06,3.683,4.107,3.64,3.901
1INCH,2021-06-07,3.901,3.912,3.35,3.403
1INCH,2021-06-08,3.403,3.455,2.867,3.101
1INCH,2021-06-09,3.101,3.233,2.882,3.19
1INCH,2021-06-10,3.19,3.256,2.854,3.014
