ticker,date,open,high,low,close
AR,2020-06-16,1.256,1.334,1.256,1.329
AR,2020-06-17,1.329,1.343,1.32,1.343
AR,2020-06-18,1.343,1.343,1.281,1.282
AR,2020-06-19,1.282,1.843,1.173,1.569
AR,2020-06-20,1.569,1.593,1.413,1.424
AR,2020-06-21,1.424,1.84,1.404,1.745
AR,2020-06-22,1.745,1.935,1.745,1.771
AR,2020-06-23,1.771,1.838,1.649,1.744
AR,2020-06-24,1.744,1.744,1.597,1.645
AR,2020-06-25,1.645,1.696,1.636,1.695
AR,2020-06-26,1.695,1.695,1.564,1.564
AR,2020-06-27,1.564,1.592,1.461,1.581
AR,2020-06-28,1.581,1.601,1.473,1.497
AR,2020-06-29,1.497,1.527,1.446,1.446
AR,2020-06-30,1.446,1.636,1.412,1.446
AR,2020-07-01,1.446,1.478,1.386,1.391
AR,2020-07-02,1.391,1.601,1.366,1.51
AR,2020-07-03,1.51,1.705,1.506,1.628
AR,2020-07-04,1.628,1.719,1.628,1.688
AR,2020-07-05,1.688,1.707,1.66,1.666
AR,2020-07-06,1.666,1.757,1.666,1.748
AR,2020-07-07,1.748,1.748,1.602,1.639
AR,2020-07-08,1.639,1.672,1.548,1.549
AR,2020-07-09,1.549,1.549,1.432,1.469
AR,2020-07-10,1.469,1.673,1.469,1.641
AR,2020-07-11,1.641,1.729,1.566,1.58
AR,2020-07-12,1.58,1.59,1.442,1.492
AR,2020-07-13,1.492,1.64,1.46,1.548
AR,2020-07-14,1.548,1.569,1.512,1.562
AR,2020-07-15,1.562,1.676,1.552,1.631
AR,2020-07-16,1.631,1.665,1.552,1.607
AR,2020-07-17,1.607,1.655,1.557,1.615
AR,2020-07-18,1.615,1.678,1.608,1.671
AR,2020-07-19,1.671,1.687,1.661,1.687
AR,2020-07-20,1.687,1.769,1.677,1.761
AR,2020-07-21,1.761,1.805,1.597,1.665
AR,2020-07-22,1.665,1.691,1.584,1.609
AR,2020-07-23,1.609,1.673,1.569,1.652
AR,2020-07-24,1.652,1.798,1.639,1.721
AR,2020-07-25,1.721,1.796,1.686,1.712
AR,2020-07-26,1.712,1.799,1.651,1.727
AR,2020-07-27,1.727,1.918,1.639,1.641
AR,2020-07-28,1.641,1.651,1.546,1.613
AR,2020-07-29,1.613,1.659,1.389,1.518
AR,2020-07-30,1.518,1.649,1.518,1.599
AR,2020-07-31,1.599,1.634,1.419,1.451
AR,2020-08-01,1.451,1.636,1.451,1.557
AR,2020-08-02,1.557,1.572,1.45,1.554
AR,2020-08-03,1.554,1.578,1.502,1.513
AR,2020-08-04,1.513,1.541,1.508,1.534
AR,2020-08-05,1.534,1.622,1.534,1.55
AR,2020-08-06,1.55,1.667,1.55,1.661
AR,2020-08-07,1.661,2.173,1.623,1.745
AR,2020-08-08,1.745,1.836,1.702,1.769
AR,2020-08-09,1.769,2.303,1.756,2.252
AR,2020-08-10,2.252,2.312,1.823,2.228
AR,2020-08-11,2.228,2.274,2.108,2.168
AR,2020-08-12,2.168,2.311,2.168,2.264
AR,2020-08-13,2.264,2.541,2.231,2.541
AR,2020-08-14,2.541,3.264,2.484,3.085
AR,2020-08-15,3.085,3.288,2.784,3.045
AR,2020-08-16,3.045,3.554,3.045,3.429
AR,2020-08-17,3.429,3.934,3.429,3.54
AR,2020-08-18,3.54,3.624,3.348,3.548
AR,2020-08-19,3.548,3.558,2.931,3.238
AR,2020-08-20,3.238,3.355,3.2,3.213
