ticker,date,open,high,low,close
FLOW,2021-01-28,6.55,7.94,6.011,7.0
FLOW,2021-01-29,7.0,7.295,6.228,6.25
FLOW,2021-01-30,6.25,9.361,6.21,9.023
FLOW,2021-01-31,9.023,12.21,8.526,9.74
FLOW,2021-02-01,9.74,12.1,9.64,9.835
FLOW,2021-02-02,9.835,11.64,8.8,9.383
FLOW,2021-02-03,9.383,9.601,8.789,8.789
FLOW,2021-02-04,8.789,9.025,7.931,8.694
FLOW,2021-02-05,8.694,10.99,8.588,10.79
FLOW,2021-02-06,10.79,11.0,9.611,10.44
FLOW,2021-02-07,10.44,10.66,9.917,10.09
FLOW,2021-02-08,10.09,10.67,9.9,10.08
FLOW,2021-02-09,10.08,11.37,10.05,11.36
FLOW,2021-02-10,11.36,12.0,11.1,11.42
FLOW,2021-02-11,11.42,12.66,11.41,12.66
FLOW,2021-02-12,12.66,15.0,12.66,14.68
FLOW,2021-02-13,14.68,15.18,13.9,14.77
FLOW,2021-02-14,14.77,18.74,14.38,17.87
FLOW,2021-02-15,17.87,20.17,16.2,19.2
FLOW,2021-02-16,19.2,19.39,17.33,19.18
FLOW,2021-02-17,19.18,19.55,16.83,17.23
FLOW,2021-02-18,17.23,19.79,17.14,19.12
FLOW,2021-02-19,19.12,19.15,18.42,18.82
FLOW,2021-02-20,18.82,19.0,18.31,18.74
FLOW,2021-02-21,18.74,30.0,18.56,21.9
FLOW,2021-02-22,21.9,23.3,18.5,22.63
FLOW,2021-02-23,22.63,23.8,18.65,21.41
FLOW,2021-02-24,21.41,23.0,19.9,20.94
FLOW,2021-02-25,20.94,21.91,19.42,20.33
FLOW,2021-02-26,20.33,20.69,18.38,19.87
FLOW,2021-02-27,19.87,21.3,19.41,20.54
FLOW,2021-02-28,20.54,22.0,19.27,20.86
FLOW,2021-03-01,20.86,30.0,20.85,28.47
FLOW,2021-03-02,28.47,30.2,26.7,29.82
FLOW,2021-03-03,29.82,38.0,28.85,32.46
FLOW,2021-03-04,32.46,41.28,31.85,39.03
FLOW,2021-03-05,39.03,39.43,34.61,34.75
FLOW,2021-03-06,34.75,35.46,30.69,34.77
FLOW,2021-03-07,34.77,36.5,32.98,34.25
FLOW,2021-03-08,34.25,35.74,31.67,32.1
FLOW,2021-03-09,32.1,38.41,32.1,35.49
FLOW,2021-03-10,35.49,35.59,33.1,34.38
FLOW,2021-03-11,34.38,34.38,31.17,32.46
FLOW,2021-03-12,32.46,35.29,30.14,35.29
FLOW,2021-03-13,35.29,39.02,34.44,37.37
FLOW,2021-03-14,37.37,37.62,34.06,36.27
FLOW,2021-03-15,36.27,37.18,32.89,34.7
FLOW,2021-03-16,34.7,34.81,32.33,33.35
FLOW,2021-03-17,33.35,34.0,31.09,32.23
FLOW,2021-03-18,32.11,32.84,31.5,31.54
FLOW,2021-03-19,31.54,32.7,31.03,31.62
FLOW,2021-03-20,31.62,32.4,31.31,31.31
FLOW,2021-03-21,31.31,31.6,29.29,30.12
FLOW,2021-03-22,30.12,30.13,26.38,27.01
FLOW,2021-03-23,27.01,28.16,24.18,26.25
FLOW,2021-03-24,26.25,28.7,25.27,25.63
FLOW,2021-03-25,25.63,26.29,24.32,25.39
FLOW,2021-03-26,25.39,33.01,25.27,29.79
FLOW,2021-03-27,29.79,30.33,27.38,27.46
