ticker,date,open,high,low,close
FTT,2019-08-07,2.16,2.289,2.16,2.232
FTT,2019-08-08,2.232,2.774,2.168,2.252
FTT,2019-08-09,2.252,2.252,1.86,1.881
FTT,2019-08-10,1.881,1.918,1.714,1.8
FTT,2019-08-11,1.8,1.939,1.74,1.842
FTT,2019-08-12,1.842,1.919,1.755,1.918
FTT,2019-08-13,1.918,1.918,1.718,1.72
FTT,2019-08-14,1.72,1.72,1.421,1.546
FTT,2019-08-15,1.546,1.589,1.184,1.24
FTT,2019-08-16,1.24,1.67,1.166,1.607
FTT,2019-08-17,1.607,1.607,1.422,1.459
FTT,2019-08-18,1.459,1.609,1.458,1.588
FTT,2019-08-19,1.588,1.68,1.42,1.422
FTT,2019-08-20,1.422,1.452,1.386,1.386
FTT,2019-08-21,1.386,1.386,1.243,1.263
FTT,2019-08-22,1.263,1.308,1.208,1.231
FTT,2019-08-23,1.231,1.366,1.231,1.268
FTT,2019-08-24,1.268,1.347,1.228,1.312
FTT,2019-08-25,1.312,1.353,1.268,1.275
FTT,2019-08-26,1.275,1.318,1.252,1.288
FTT,2019-08-27,1.288,1.307,1.236,1.236
FTT,2019-08-28,1.236,1.245,1.131,1.212
FTT,2019-08-29,1.212,1.222,1.151,1.152
FTT,2019-08-30,1.152,1.2,1.147,1.152
FTT,2019-08-31,1.152,1.169,1.135,1.161
FTT,2019-09-01,1.161,1.185,1.158,1.17
FTT,2019-09-02,1.17,1.248,1.121,1.178
FTT,2019-09-03,1.178,1.219,1.174,1.177
FTT,2019-09-04,1.177,1.208,1.166,1.18
FTT,2019-09-05,1.18,1.18,1.139,1.149
FTT,2019-09-06,1.149,1.186,1.098,1.162
FTT,2019-09-07,1.162,1.208,1.162,1.206
FTT,2019-09-08,1.206,1.243,1.186,1.239
FTT,2019-09-09,1.239,1.306,1.218,1.238
FTT,2019-09-10,1.238,1.284,1.198,1.243
FTT,2019-09-11,1.243,1.254,1.176,1.236
FTT,2019-09-12,1.236,1.281,1.233,1.234
FTT,2019-09-13,1.234,1.255,1.192,1.221
FTT,2019-09-14,1.221,1.307,1.21,1.232
FTT,2019-09-15,1.232,1.264,1.225,1.262
FTT,2019-09-16,1.262,1.305,1.232,1.258
FTT,2019-09-17,1.258,1.307,1.24,1.294
FTT,2019-09-18,1.294,1.321,1.282,1.289
FTT,2019-09-19,1.289,1.392,1.285,1.305
FTT,2019-09-20,1.305,1.33,1.286,1.323
FTT,2019-09-21,1.323,1.339,1.287,1.311
FTT,2019-09-22,1.311,1.348,1.301,1.31
FTT,2019-09-23,1.31,1.31,1.243,1.277
FTT,2019-09-24,1.277,1.367,1.079,1.266
FTT,2019-09-25,1.266,1.27,1.194,1.248
FTT,2019-09-26,1.248,1.264,1.176,1.229
FTT,2019-09-27,1.229,1.325,1.229,1.278
FTT,2019-09-28,1.278,1.316,1.252,1.262
FTT,2019-09-29,1.262,1.306,1.233,1.283
FTT,2019-09-30,1.283,1.374,1.26,1.286
FTT,2019-10-01,1.286,1.306,1.239,1.3
FTT,2019-10-02,1.3,1.331,1.297,1.298
FTT,2019-10-03,1.298,1.325,1.271,1.305
FTT,2019-10-04,1.305,1.332,1.291,1.324
FTT,2019-10-05,1.324,1.342,1.313,1.325
FTT,2019-10-06,1.325,1.325,1.264,1.304
FTT,2019-10-07,1.304,1.372,1.269,1.297
FTT,2019-10-08,1.297,1.358,1.275,1.345
