ticker,date,open,high,low,close
GRT,2020-12-18,0.1757,0.2917,0.1747,0.2619
GRT,2020-12-19,0.5084,0.6021,0.4002,0.492
GRT,2020-12-20,0.492,1.149,0.458,0.7639
GRT,2020-12-21,0.7639,0.7639,0.3671,0.4901
GRT,2020-12-22,0.5564,0.63,0.5026,0.5454
GRT,2020-12-23,0.5454,0.5818,0.3353,0.4125
GRT,2020-12-24,0.4125,0.4567,0.3551,0.4102
GRT,2020-12-25,0.4102,0.4209,0.3342,0.3591
GRT,2020-12-26,0.3591,0.4991,0.32,0.4841
GRT,2020-12-27,0.4841,0.496,0.3779,0.396
GRT,2020-12-28,0.396,0.438,0.3746,0.38
GRT,2020-12-29,0.38,0.3859,0.3395,0.3726
GRT,2020-12-30,0.3726,0.405,0.35,0.3748
GRT,2020-12-31,0.3748,0.3805,0.3415,0.3512
GRT,2021-01-01,0.3512,0.3795,0.3462,0.3629
GRT,2021-01-02,0.3629,0.3629,0.3108,0.3272
GRT,2021-01-03,0.3272,0.3374,0.282,0.2982
GRT,2021-01-04,0.2982,0.3548,0.2914,0.309
GRT,2021-01-05,0.309,0.348,0.2853,0.3396
GRT,2021-01-06,0.3396,0.3998,0.3155,0.3708
GRT,2021-01-07,0.3708,0.4159,0.328,0.3459
GRT,2021-01-08,0.3459,0.3515,0.3107,0.3293
GRT,2021-01-09,0.3293,0.3651,0.3171,0.3493
GRT,2021-01-10,0.3493,0.3788,0.308,0.327
GRT,2021-01-11,0.327,0.3278,0.2327,0.2913
GRT,2021-01-12,0.2913,0.31,0.2646,0.2774
GRT,2021-01-13,0.2774,0.3497,0.2671,0.3247
GRT,2021-01-14,0.3247,0.3616,0.3159,0.3335
GRT,2021-01-15,0.3335,0.392,0.311,0.3379
GRT,2021-01-16,0.3379,0.4781,0.3371,0.4656
GRT,2021-01-17,0.4656,0.575,0.4099,0.5198
GRT,2021-01-18,0.5198,0.6618,0.4956,0.6185
GRT,2021-01-19,0.6185,0.644,0.5252,0.54
GRT,2021-01-20,0.54,0.5758,0.4768,0.5217
GRT,2021-01-21,0.5217,0.5598,0.4343,0.4356
GRT,2021-01-22,0.4356,0.5565,0.3862,0.5109
GRT,2021-01-23,0.5109,0.5931,0.4892,0.5848
GRT,2021-01-24,0.5848,0.594,0.5181,0.5564
GRT,2021-01-25,0.5564,0.594,0.5258,0.5299
GRT,2021-01-26,0.5299,0.5509,0.4808,0.5371
GRT,2021-01-27,0.5371,0.5457,0.454,0.4856
GRT,2021-01-28,0.4856,0.5836,0.469,0.5589
GRT,2021-01-29,0.5589,0.66,0.5341,0.5536
GRT,2021-01-30,0.5536,0.6801,0.5522,0.6367
GRT,2021-01-31,0.6367,0.8718,0.602,0.7947
GRT,2021-02-01,0.7947,0.8892,0.7535,0.7843
GRT,2021-02-02,0.7843,0.8192,0.7254,0.754
GRT,2021-02-03,0.754,0.8689,0.7261,0.8266
GRT,2021-02-04,0.8266,0.8599,0.7693,0.8168
GRT,2021-02-05,0.8168,1.05,0.807,0.9523
GRT,2021-02-06,0.9523,0.9553,0.8339,0.8677
GRT,2021-02-07,0.8677,0.9598,0.7801,0.9179
GRT,2021-02-08,0.9179,1.045,0.9132,0.967
GRT,2021-02-09,0.967,1.1,0.9428,1.053
GRT,2021-02-10,1.053,1.289,0.9912,1.27
GRT,2021-02-11,1.27,2.193,1.202,2.03
GRT,2021-02-12,2.03,2.802,1.914,2.248
GRT,2021-02-13,2.248,2.59,2.179,2.354
GRT,2021-02-14,2.354,2.413,1.9,2.163
GRT,2021-02-15,2.163,2.442,1.67,2.143
GRT,2021-02-16,2.143,2.275,2.021,2.073
GRT,2021-02-17,2.073,2.21,1.912,2.189
GRT,2021-02-18,2.189,2.349,2.132,2.286
GRT,2021-02-19,2.286,2.328,2.107,2.17
GRT,2021-02-20,2.17,2.66,2.088,2.296
GRT,2021-02-21,2.296,2.387,2.195,2.299
GRT,2021-02-22,2.299,2.43,1.626,2.026
GRT,2021-02-23,2.026,2.026,1.31,1.702
GRT,2021-02-24,1.702,2.03,1.602,1.888
GRT,2021-02-25,1.888,1.998,1.697,1.697
GRT,2021-02-26,1.697,1.867,1.567,1.728
GRT,2021-02-27,1.728,1.814,1.639,1.684
GRT,2021-02-28,1.684,1.69,1.429,1.591
GRT,2021-03-01,1.591,1.929,1.591,1.921
GRT,2021-03-02,1.921,1.983,1.722,1.833
GRT,2021-03-03,1.833,2.084,1.8,1.954
GRT,2021-03-04,1.954,2.044,1.792,1.869
GRT,2021-03-05,1.869,1.889,1.724,1.824
GRT,2021-03-06,1.824,1.86,1.751,1.794
GRT,2021-03-07,1.798,2.025,1.798,1.88
GRT,2021-03-08,1.878,1.928,1.805,1.906
GRT,2021-03-09,1.906,2.223,1.874,2.132
GRT,2021-03-10,2.132,2.147,1.959,2.039
GRT,2021-03-11,1.987,2.085,1.881,1.913
GRT,2021-03-12,1.913,1.926,1.661,1.735
GRT,2021-03-13,1.735,1.89,1.652,1.794
GRT,2021-03-14,1.794,1.841,1.71,1.733
GRT,2021-03-15,1.733,1.869,1.686,1.718
GRT,2021-03-16,1.718,1.789,1.604,1.714
