ticker,date,open,high,low,close
MX,2022-05-14,1.63462,1.66749,1.44459,1.58961
MX,2022-05-15,1.56351,1.63561,1.50783,1.58959
MX,2022-05-16,1.5832,1.62265,1.52197,1.56476
MX,2022-05-17,1.58534,1.59552,1.55238,1.56772
MX,2022-05-18,1.57076,1.57101,1.45076,1.46275
MX,2022-05-19,1.47258,1.54491,1.44811,1.51199
MX,2022-05-20,1.50789,1.57333,1.46574,1.51348
MX,2022-05-21,1.50554,1.54773,1.50065,1.53201
MX,2022-05-22,1.54039,1.59762,1.5356,1.57401
MX,2022-05-23,1.57101,1.71249,1.52327,1.54914
MX,2022-05-24,1.55328,1.56322,1.49196,1.50904
MX,2022-05-25,1.51967,1.55433,1.49845,1.52407
MX,2022-05-26,1.52432,1.55059,1.4502,1.51568
MX,2022-05-27,1.51818,1.52118,1.44731,1.45919
MX,2022-05-28,1.46272,1.54655,1.46272,1.52573
MX,2022-05-29,1.53497,1.56357,1.51289,1.55617
MX,2022-05-30,1.55628,1.64735,1.55337,1.64735
MX,2022-05-31,1.64425,1.69271,1.62486,1.63549
MX,2022-06-01,1.63616,1.63832,1.47897,1.50594
MX,2022-06-02,1.51164,1.54271,1.49375,1.52013
MX,2022-06-03,1.52083,1.52974,1.49108,1.50859
MX,2022-06-04,1.50999,1.58602,1.50999,1.54984
MX,2022-06-05,1.55175,1.57844,1.54592,1.56145
MX,2022-06-06,1.55565,1.61111,1.54856,1.60673
MX,2022-06-07,1.60444,1.61529,1.51127,1.60774
MX,2022-06-08,1.60861,1.61388,1.55181,1.58608
MX,2022-06-09,1.58788,1.61921,1.55965,1.61253
MX,2022-06-10,1.60923,1.61524,1.54651,1.58192
MX,2022-06-11,1.58279,1.59872,1.48557,1.53154
MX,2022-06-12,1.53535,1.53747,1.42288,1.44592
MX,2022-06-13,1.4527,1.46561,1.30726,1.32918
MX,2022-06-14,1.32875,1.33593,1.12594,1.23316
MX,2022-06-15,1.23842,1.34705,1.18377,1.32847
MX,2022-06-16,1.33393,1.38028,1.22295,1.22319
MX,2022-06-17,1.19965,1.26882,1.19965,1.2466
MX,2022-06-18,1.2464,1.25173,1.19758,1.22889
MX,2022-06-19,1.2331,1.31379,1.1964,1.31079
MX,2022-06-20,1.31192,1.34565,1.24348,1.33263
MX,2022-06-21,1.32451,1.4024,1.32451,1.38411
MX,2022-06-22,1.38771,1.38861,1.30959,1.31129
MX,2022-06-23,1.32358,1.38811,1.3008,1.33586
MX,2022-06-24,1.33177,1.36525,1.31608,1.35924
MX,2022-06-25,1.36593,1.40219,1.33928,1.39813
MX,2022-06-26,1.39975,1.39975,1.3468,1.36345
MX,2022-06-27,1.35663,1.37944,1.33809,1.36056
MX,2022-06-28,1.36278,1.38354,1.31212,1.34831
MX,2022-06-29,1.3226,1.35136,1.29689,1.32254
MX,2022-06-30,1.32869,1.32869,1.2407,1.27267
MX,2022-07-01,1.25529,1.34272,1.2487,1.29045
MX,2022-07-02,1.29597,1.30953,1.28239,1.30104
MX,2022-07-03,1.30433,1.3064,1.28925,1.3064
MX,2022-07-04,1.30131,1.34488,1.29648,1.34269
MX,2022-07-05,1.33739,1.37009,1.29857,1.35341
MX,2022-07-06,1.34782,1.34782,1.30856,1.33273
MX,2022-07-07,1.33982,1.35189,1.30496,1.35129
MX,2022-07-08,1.35039,1.36978,1.32207,1.3405
MX,2022-07-09,1.34859,1.35535,1.3262,1.34929
MX,2022-07-10,1.35289,1.35409,1.3392,1.34709
MX,2022-07-11,1.34669,1.35275,1.33746,1.34499
MX,2022-07-12,1.33889,1.35934,1.32108,1.32917
MX,2022-07-13,1.33114,1.36027,1.28518,1.35814
MX,2022-07-14,1.36277,1.51629,1.35222,1.45892
MX,2022-07-15,1.45852,1.51779,1.43644,1.48421
MX,2022-07-16,1.48201,1.58073,1.45066,1.4996
MX,2022-07-17,1.50231,1.5175,1.45987,1.48866
MX,2022-07-18,1.4844,1.53899,1.47128,1.48776
MX,2022-07-19,1.48814,1.54276,1.43859,1.44012
MX,2022-07-20,1.4398,1.47324,1.38198,1.39527
MX,2022-07-21,1.39305,1.45671,1.38184,1.41654
MX,2022-07-22,1.41455,1.46721,1.39029,1.40851
MX,2022-07-23,1.4041,1.42398,1.38228,1.40278
MX,2022-07-24,1.40788,1.41851,1.39661,1.40887
MX,2022-07-25,1.40827,1.41537,1.36727,1.39173
MX,2022-07-26,1.39143,1.39143,1.3014,1.3046
MX,2022-07-27,1.3052,1.35937,1.28566,1.33802
MX,2022-07-28,1.34091,1.45909,1.27121,1.42607
MX,2022-07-29,1.42677,1.44019,1.39054,1.40949
MX,2022-07-30,1.41517,1.4368,1.39978,1.40116
MX,2022-07-31,1.39893,1.41181,1.368,1.37143
MX,2022-08-01,1.36966,1.37178,1.29848,1.30079
MX,2022-08-02,1.30467,1.33182,1.23841,1.27349
MX,2022-08-03,1.27604,1.29047,1.17018,1.22379
MX,2022-08-04,1.21976,1.25349,1.20584,1.20784
MX,2022-08-05,1.20965,1.22735,1.20771,1.21833
MX,2022-08-06,1.21653,1.24494,1.20899,1.21107
MX,2022-08-07,1.21408,1.26244,1.20964,1.25873
MX,2022-08-08,1.25704,1.28997,1.23136,1.23232
MX,2022-08-09,1.23344,1.26183,1.21184,1.22556
MX,2022-08-10,1.22556,1.27278,1.20814,1.25788
MX,2022-08-11,1.25636,1.30026,1.24997,1.26966
MX,2022-08-12,1.27284,1.29165,1.24642,1.25138
MX,2022-08-13,1.25378,1.31953,1.24929,1.30582
MX,2022-08-14,1.3058,1.32642,1.30029,1.31732
MX,2022-08-15,1.31941,1.34791,1.28231,1.29117
MX,2022-08-16,1.29391,1.2959,1.27098,1.27942
MX,2022-08-17,1.2792,1.29647,1.2541,1.2713
MX,2022-08-18,1.2683,1.27551,1.20228,1.22985
MX,2022-08-19,1.23062,1.2409,1.1626,1.16902
MX,2022-08-20,1.17135,1.17852,1.10327,1.11509
MX,2022-08-21,1.12497,1.17614,1.09376,1.15508
MX,2022-08-22,1.15037,1.16181,1.06719,1.08662
MX,2022-08-23,1.08644,1.11204,1.07048,1.09131
MX,2022-08-24,1.09599,1.10536,1.07602,1.0968
MX,2022-08-25,1.09849,1.1022,1.08328,1.09324
MX,2022-08-26,1.09311,1.11053,1.01883,1.0305
MX,2022-08-27,1.03039,1.03289,0.95566,0.98943
MX,2022-08-28,0.99121,1.01701,0.98012,0.99649
MX,2022-08-29,0.99102,1.02108,0.97483,1.01637
MX,2022-08-30,1.0176,1.04478,0.99043,1.01309
MX,2022-08-31,1.01298,1.04855,0.99196,1.0075
MX,2022-09-01,1.00368,1.0207,0.98679,1.00414
MX,2022-09-02,1.00535,1.01317,0.99001,0.996169
MX,2022-09-03,0.99786,1.00338,0.981,0.9837
MX,2022-09-04,0.981998,0.9899,0.9703,0.9703
MX,2022-09-05,0.9703,0.972,0.9487,0.950395
MX,2022-09-06,0.950395,0.980098,0.9326,0.9505
MX,2022-09-07,0.948066,0.956471,0.903555,0.948447
MX,2022-09-08,0.951567,0.953095,0.90469,0.916337
MX,2022-09-09,0.915256,1.04687,0.910637,1.02705
MX,2022-09-10,1.02779,1.03243,0.980563,0.994099
MX,2022-09-11,0.996259,1.01611,0.957739,0.964941
MX,2022-09-12,0.966242,1.00026,0.96225,0.994799
MX,2022-09-13,0.995299,0.99684,0.9133,0.925219
MX,2022-09-14,0.926919,0.927128,0.904754,0.915729
MX,2022-09-15,0.917775,0.947861,0.858928,0.87983
MX,2022-09-16,0.873848,0.903,0.857046,0.8929
MX,2022-09-17,0.8895,0.9123,0.8798,0.89819
MX,2022-09-18,0.901,0.9071,0.880712,0.8889
MX,2022-09-19,0.888811,0.930586,0.877412,0.915792
MX,2022-09-20,0.913983,0.920392,0.892189,0.90329
MX,2022-09-21,0.8964,0.945094,0.8841,0.8903
MX,2022-09-22,0.8898,0.9475,0.8889,0.922408
MX,2022-09-23,0.923,1.0006,0.9223,0.9997
MX,2022-09-24,1.00333,1.00641,0.972688,0.972688
MX,2022-09-25,0.9719,0.972797,0.935309,0.944262
MX,2022-09-26,0.941609,1.0161,0.932819,0.966603
MX,2022-09-27,0.9676,1.0004,0.9386,0.9528
MX,2022-09-28,0.956,0.963204,0.923108,0.9542
MX,2022-09-29,0.9522,0.956004,0.9171,0.933593
MX,2022-09-30,0.933693,0.963396,0.9279,0.9299
MX,2022-10-01,0.9288,0.9419,0.9247,0.935
MX,2022-10-02,0.9345,0.939894,0.9242,0.9284
MX,2022-10-03,0.9274,0.929893,0.9106,0.917383
MX,2022-10-04,0.918792,0.939882,0.918284,0.926478
MX,2022-10-05,0.925978,0.93198,0.907691,0.914983
MX,2022-10-06,0.914874,0.93194,0.910928,0.910928
MX,2022-10-07,0.910464,0.920466,0.901409,0.908236
MX,2022-10-08,0.908009,0.912609,0.899825,0.899825
MX,2022-10-09,0.900734,0.908091,0.887889,0.89749
MX,2022-10-10,0.89609,0.907691,0.89599,0.90151
MX,2022-10-11,0.9016,0.90331,0.868422,0.870922
MX,2022-10-12,0.873895,0.918154,0.870139,0.880526
MX,2022-10-13,0.881735,0.910073,0.85714,0.905191
MX,2022-10-14,0.904781,0.921164,0.87857,0.897918
MX,2022-10-15,0.897909,0.902454,0.895481,0.896645
MX,2022-10-16,0.896245,0.910627,0.893936,0.900645
MX,2022-10-17,0.903145,0.909718,0.895872,0.902927
MX,2022-10-18,0.902918,0.910591,0.893627,0.899236
MX,2022-10-19,0.902936,0.911755,0.892118,0.899236
MX,2022-10-20,0.900609,0.903446,0.895827,0.897619
MX,2022-10-21,0.896319,0.910409,0.877547,0.901063
MX,2022-10-22,0.897463,0.901063,0.883844,0.888871
MX,2022-10-23,0.886771,0.897326,0.882262,0.897326
MX,2022-10-24,0.898308,0.908864,0.873187,0.887927
MX,2022-10-25,0.889362,0.937487,0.8807,0.909718
MX,2022-10-26,0.908409,0.922823,0.89145,0.900443
MX,2022-10-27,0.905435,0.933103,0.900516,0.913546
MX,2022-10-28,0.916655,0.95159,0.903581,0.943808
MX,2022-10-29,0.942479,0.997729,0.941907,0.995039
