ticker,date,open,high,low,close
NEXO,2018-05-22,0.2105,0.2105,0.1599,0.1974
NEXO,2018-05-23,0.1974,0.1974,0.1531,0.1719
NEXO,2018-05-24,0.1719,0.1934,0.16,0.1881
NEXO,2018-05-25,0.1881,0.2011,0.1757,0.1869
NEXO,2018-05-26,0.1869,0.2184,0.1831,0.2015
NEXO,2018-05-27,0.2015,0.2282,0.1944,0.1944
NEXO,2018-05-28,0.1944,0.1944,0.1694,0.1808
NEXO,2018-05-29,0.1808,0.2033,0.1808,0.1891
NEXO,2018-05-30,0.1891,0.2166,0.1752,0.193
NEXO,2018-05-31,0.193,0.2011,0.1838,0.1913
NEXO,2018-06-01,0.1913,0.2011,0.1732,0.1822
NEXO,2018-06-02,0.1822,0.1918,0.1743,0.1842
NEXO,2018-06-03,0.1842,0.1992,0.1637,0.1907
NEXO,2018-06-04,0.1907,0.2326,0.1741,0.1928
NEXO,2018-06-05,0.1928,0.209,0.164,0.1869
NEXO,2018-06-06,0.1869,0.19,0.1724,0.1785
NEXO,2018-06-07,0.1785,0.1817,0.1679,0.1717
NEXO,2018-06-08,0.1717,0.1754,0.1602,0.1693
NEXO,2018-06-09,0.1693,0.1698,0.1578,0.1638
NEXO,2018-06-10,0.1638,0.1638,0.1199,0.1348
NEXO,2018-06-11,0.1348,0.1384,0.1254,0.1322
NEXO,2018-06-12,0.1322,0.1322,0.1167,0.1193
NEXO,2018-06-13,0.1193,0.1199,0.101,0.1098
NEXO,2018-06-14,0.1098,0.1408,0.1098,0.1329
NEXO,2018-06-15,0.1329,0.1329,0.119,0.1215
NEXO,2018-06-16,0.1215,0.1327,0.1177,0.1307
NEXO,2018-06-17,0.1307,0.1414,0.1279,0.1317
NEXO,2018-06-18,0.1317,0.1383,0.1209,0.1249
NEXO,2018-06-19,0.1249,0.1335,0.122,0.122
NEXO,2018-06-20,0.122,0.1285,0.1204,0.1271
NEXO,2018-06-21,0.1271,0.1297,0.1028,0.1203
NEXO,2018-06-22,0.1203,0.1203,0.09319,0.1065
NEXO,2018-06-23,0.1065,0.1184,0.103,0.1091
NEXO,2018-06-24,0.1091,0.1115,0.09668,0.1053
NEXO,2018-06-25,0.1053,0.1659,0.09954,0.1158
NEXO,2018-06-26,0.1158,0.1158,0.09498,0.1035
NEXO,2018-06-27,0.1036,0.1081,0.1007,0.1081
NEXO,2018-06-28,0.1081,0.1081,0.09746,0.1027
NEXO,2018-06-29,0.1027,0.1092,0.1027,0.1073
NEXO,2018-06-30,0.1073,0.1124,0.1073,0.1124
NEXO,2018-07-01,0.1124,0.1173,0.1071,0.1103
NEXO,2018-07-02,0.1104,0.1303,0.1104,0.1303
NEXO,2018-07-03,0.1303,0.1367,0.1139,0.1198
NEXO,2018-07-04,0.1198,0.1232,0.1127,0.1226
NEXO,2018-07-05,0.1226,0.1372,0.1124,0.1202
NEXO,2018-07-06,0.1202,0.1248,0.1162,0.1208
NEXO,2018-07-07,0.1208,0.1257,0.1156,0.1176
NEXO,2018-07-08,0.1176,0.1221,0.114,0.1147
NEXO,2018-07-09,0.1147,0.126,0.11,0.1107
NEXO,2018-07-10,0.1107,0.1179,0.07001,0.09902
NEXO,2018-07-11,0.09902,0.1061,0.08313,0.09528
