ticker,date,open,high,low,close
THETA,2018-01-30,0.2364,0.2364,0.2066,0.2157
THETA,2018-01-31,0.2143,0.2505,0.1979,0.218
THETA,2018-02-01,0.2184,0.2184,0.169,0.191
THETA,2018-02-02,0.191,0.191,0.1522,0.1724
THETA,2018-02-03,0.1729,0.2014,0.1729,0.1886
THETA,2018-02-04,0.1891,0.1891,0.1488,0.151
THETA,2018-02-05,0.151,0.151,0.1145,0.1181
THETA,2018-02-06,0.1183,0.138,0.1183,0.1368
THETA,2018-02-07,0.1362,0.1362,0.1197,0.1222
THETA,2018-02-08,0.1223,0.1413,0.1223,0.1295
THETA,2018-02-09,0.1303,0.1546,0.1303,0.1416
THETA,2018-02-10,0.1417,0.1446,0.1286,0.1305
THETA,2018-02-11,0.1308,0.1308,0.1094,0.1167
THETA,2018-02-12,0.1167,0.1296,0.1123,0.1173
THETA,2018-02-13,0.1167,0.1167,0.1106,0.1147
THETA,2018-02-14,0.1147,0.134,0.1147,0.1297
THETA,2018-02-15,0.13,0.169,0.124,0.1406
THETA,2018-02-16,0.1408,0.1466,0.1362,0.1409
THETA,2018-02-17,0.1408,0.1996,0.1408,0.1679
THETA,2018-02-18,0.1679,0.1819,0.1506,0.1674
THETA,2018-02-19,0.1672,0.1879,0.1672,0.1703
THETA,2018-02-20,0.1703,0.1724,0.1432,0.1457
THETA,2018-02-21,0.1443,0.1443,0.1253,0.1275
THETA,2018-02-22,0.1279,0.1347,0.1192,0.1304
THETA,2018-02-23,0.1296,0.1381,0.1296,0.1311
THETA,2018-02-24,0.1323,0.1323,0.1219,0.126
THETA,2018-02-25,0.126,0.1276,0.09245,0.1145
THETA,2018-02-26,0.1144,0.1355,0.1144,0.1263
THETA,2018-02-27,0.1253,0.149,0.1204,0.1389
THETA,2018-02-28,0.1385,0.1472,0.1278,0.1462
THETA,2018-03-01,0.1465,0.2164,0.1465,0.2137
THETA,2018-03-02,0.2137,0.2171,0.1726,0.1965
THETA,2018-03-03,0.1948,0.238,0.1857,0.2301
THETA,2018-03-04,0.2293,0.2449,0.2049,0.2143
THETA,2018-03-05,0.216,0.2239,0.2004,0.2126
THETA,2018-03-06,0.213,0.213,0.1786,0.2039
THETA,2018-03-07,0.2035,0.2035,0.1566,0.1694
