ticker,date,open,high,low,close
UNI,2020-09-17,3.056,3.961,2.452,3.473
UNI,2020-09-18,3.473,8.579,3.232,6.908
UNI,2020-09-19,6.908,7.5,5.232,5.73
UNI,2020-09-20,5.73,6.092,4.656,5.227
UNI,2020-09-21,5.227,5.652,4.084,4.254
UNI,2020-09-22,4.254,4.559,3.687,3.909
UNI,2020-09-23,3.909,5.352,3.905,4.346
UNI,2020-09-24,4.346,5.293,4.264,5.145
UNI,2020-09-25,5.145,5.558,4.766,4.919
UNI,2020-09-26,4.919,4.999,4.684,4.88
UNI,2020-09-27,4.88,5.223,4.709,4.856
UNI,2020-09-28,4.856,4.955,4.184,4.254
UNI,2020-09-29,4.254,4.417,4.124,4.391
UNI,2020-09-30,4.391,4.391,3.954,4.159
UNI,2020-10-01,4.159,4.519,3.908,4.254
UNI,2020-10-02,4.254,4.254,3.573,3.894
UNI,2020-10-03,3.894,4.123,3.834,3.909
UNI,2020-10-04,3.909,3.949,3.614,3.728
UNI,2020-10-05,3.728,3.804,3.185,3.321
UNI,2020-10-06,3.321,3.344,2.633,2.716
UNI,2020-10-07,2.716,3.003,2.482,2.966
UNI,2020-10-08,2.966,3.468,2.646,3.353
UNI,2020-10-09,3.353,3.604,3.178,3.386
UNI,2020-10-10,3.386,3.662,3.269,3.302
UNI,2020-10-11,3.302,3.454,3.181,3.366
UNI,2020-10-12,3.366,3.603,3.285,3.463
UNI,2020-10-13,3.463,3.503,3.296,3.356
UNI,2020-10-14,3.356,3.443,2.973,3.115
UNI,2020-10-15,3.115,3.163,2.918,3.082
UNI,2020-10-16,3.082,3.383,2.89,3.044
UNI,2020-10-17,3.044,3.124,2.973,3.063
UNI,2020-10-18,3.063,3.294,3.05,3.284
UNI,2020-10-19,3.284,3.291,3.113,3.173
UNI,2020-10-20,3.173,3.194,2.814,2.861
UNI,2020-10-21,2.861,3.08,2.85,2.941
UNI,2020-10-22,2.941,3.141,2.926,3.042
UNI,2020-10-23,3.042,3.121,2.966,3.015
UNI,2020-10-24,3.015,3.081,2.934,2.942
UNI,2020-10-25,2.942,2.965,2.723,2.774
UNI,2020-10-26,2.774,2.877,2.526,2.714
UNI,2020-10-27,2.714,2.905,2.701,2.809
UNI,2020-10-28,2.809,2.854,2.595,2.665
UNI,2020-10-29,2.665,2.74,2.486,2.544
UNI,2020-10-30,2.544,2.567,2.256,2.418
UNI,2020-10-31,2.418,2.418,2.239,2.265
UNI,2020-11-01,2.265,2.448,2.219,2.377
UNI,2020-11-02,2.377,2.457,2.228,2.254
UNI,2020-11-03,2.254,2.282,2.061,2.15
UNI,2020-11-04,2.15,2.177,1.887,1.946
UNI,2020-11-05,1.946,2.405,1.768,2.189
UNI,2020-11-06,2.189,2.686,2.175,2.571
UNI,2020-11-07,2.571,3.019,2.448,2.486
UNI,2020-11-08,2.486,2.919,2.44,2.869
UNI,2020-11-09,2.869,2.879,2.58,2.678
UNI,2020-11-10,2.678,3.172,2.629,3.075
UNI,2020-11-11,3.075,3.219,2.891,2.936
UNI,2020-11-12,2.936,3.138,2.84,2.96
UNI,2020-11-13,2.96,3.969,2.937,3.853
UNI,2020-11-14,3.853,3.96,3.516,3.808
UNI,2020-11-15,3.808,4.255,3.615,3.851
UNI,2020-11-16,3.851,3.937,3.447,3.566
UNI,2020-11-17,3.566,3.858,3.488,3.816
UNI,2020-11-18,3.816,3.849,3.275,3.463
UNI,2020-11-19,3.463,3.896,3.233,3.753
UNI,2020-11-20,3.753,4.087,3.677,3.854
UNI,2020-11-21,3.854,3.932,3.593,3.833
UNI,2020-11-22,3.833,3.944,3.439,3.68
UNI,2020-11-23,3.68,4.223,3.633,4.19
