,1INCH,AAVE,ADA,ALGO,AMP,ANKR,APE,AR,ASTR,ATOM,AVAX,AXS,BAT,BCH,BNB,BSV,BTC,BTG,BTT,CAKE,CELO,CFX,CHZ,CKB,COMP,CRO,CRV,DAI,DASH,DOGE,DOT,DYDX,EGLD,ELF,ENJ,ENS,EOS,ETC,ETH,ETHW,FET,FIL,FLOW,FTM,FTT,GALA,GLM,GMT,GNO,GRT,GT,HBAR,HNT,HOT,ICP,IMX,INJ,IOTA,IOTX,JST,KAVA,KCS,KSM,LDO,LEO,LINK,LPT,LTC,MANA,MATIC,METIS,MINA,MKR,MX,NEAR,NEO,NEXO,NFT,OKB,OSMO,PAXG,PEOPLE,QNT,QTUM,RAY,ROSE,RSR,RUNE,RVN,SAND,SC,SHIB,SNX,SOL,STX,SUPER,T,TFUEL,THETA,TRAC,TRX,TUSD,TWT,UNI,USDC,USDD,USDT,VET,WEMIX,WOO,XAUt,XDC,XEC,XLM,XMR,XRP,XTZ,ZEC,ZIL,ZRX
1INCH,1.0,0.6053076954070437,-0.23848893311029948,-0.33742234886746236,0.2297254336081756,-0.4779695195357727,0.6759936211062568,-0.16236912161304692,-0.437752450231022,-0.5471028851310114,-0.141631660732986,0.18950768126802428,-0.06078461974687759,0.5470887954317669,-0.276696320152292,-0.26551614635656057,-0.3228393596124925,0.6035228428308372,0.3389955326258323,0.3489494863664915,0.41645926196093164,-0.349203982522573,-0.5325320144423162,-0.4719893756687639,0.5030787517130814,-0.4139074569999053,0.17641064470060527,0.31314050684572414,-0.2892375114999465,-0.5001946168985805,0.25535815666935147,-0.08763569970402893,0.084568017864514,-0.6818357365811127,-0.2674417135001869,-0.2858897694048423,0.19883747943387048,-0.2602304205378226,-0.5042511657807859,-0.5042511657807859,-0.5885372799912244,-0.3405748664014352,0.8562950306228305,-0.3692593050953662,-0.5010309396891367,0.646609091456572,-0.2807324010987933,0.5739293657258584,0.14192563504894698,0.8495537812626788,-0.49072228437183585,-0.4332929988745353,-0.29395963284325394,0.35251226949710124,0.4039530364979283,0.1701428359363634,-0.7095706014947589,0.3474288152704649,-0.2525599285034309,-0.1438552262878503,0.7542312509120677,0.007659627185868644,-0.18839134228685764,-0.08674384402557392,-0.6337063959780036,-0.4110601605299116,-0.35460771280106124,0.15817407218686116,-0.3436507326381532,-0.5809912460009304,-0.3687476319235608,0.6496502926314807,-0.17687731736032447,-0.7504948288920797,-0.03355446582968345,0.36963949957538234,-0.44378315216198805,0.6237752096437168,-0.4732980697192035,0.2022666212618576,-0.6031556285968271,-0.3871774064044913,-0.5034068846699139,0.5956124149731533,-0.4415412416948434,0.3090082592180586,0.16644555399880856,-0.369338049163278,-0.31359648904718634,-0.20389019939258207,-0.3620094570498373,0.2971885418595744,0.2820648827518474,-0.4078695522105534,0.44068442369640287,-0.6178661540940584,0.3210467889652647,-0.4557580918284439,-0.337960998983136,-0.4114345157037952,0.12361628998019941,0.5438154626025499,0.02162197570927916,0.3730083626134555,0.48911555368354587,-0.0686911715137135,0.27603790426068264,-0.2749660642310156,-0.000891890252975844,0.16709377182523558,-0.681348126512039,0.005301056727669355,0.5711505116178056,-0.15316543780471076,-0.43149527906550905,-0.3612923702536918,-0.5347504217216671,0.021251760827371298,-0.1295793652460916,-0.22079543404297097
AAVE,0.6053076954070437,1.0,-0.20867452763043448,-0.43505336465838185,0.2893156465601184,-0.5193546379945365,0.21338699631087277,0.0057319918465255125,-0.4439061841158322,-0.561475607760041,0.2406841024634957,0.44174115537669656,0.08901850451331968,0.6888863073778083,-0.14977809186127108,-0.09259365450537009,-0.20611078786882836,0.00633464493690294,-0.2459709981152024,0.8113279117900745,0.4573015177766178,-0.14419724786048527,-0.503815926802738,-0.4895751711280246,0.6021856479337269,-0.4235036653038038,0.31062125895451975,0.21423905635579046,-0.19904723814496855,-0.3299600511489562,0.6206847718639519,-0.04515104315307972,0.47356540565488225,-0.5603742840786418,-0.14199680675889614,-0.33107866735430025,0.5923439892569115,-0.043422029255908885,-0.48940013687884154,-0.48940013687884154,-0.5251587033024923,-0.3114846903483901,0.46254133325434466,-0.35507826889798355,-0.5030152688678557,0.25994967283002507,-0.37048535160955826,-0.013859387765649748,-0.3744833861262651,0.5505129477106019,-0.5480247303799749,-0.38776219931586453,-0.16576336068647188,-0.14911711948072784,0.11120726205580315,-0.34725975652310437,-0.5937617567646444,0.6569660484967099,-0.22707838243246173,-0.538977175024975,0.18497238190046514,-0.10787509443837881,0.00291460751264056,-0.031016627207063534,-0.6052599772005032,-0.28699127096423815,-0.37581070418395035,-0.01161524280612659,-0.24816759590588358,-0.5564007461519889,-0.44014917700591344,0.10439405775608297,-0.16282690379441359,-0.60800265898406,0.36176057507858944,0.5716355127822691,-0.37081525796930154,-0.03979953930921302,-0.43475692742956723,0.027661614640871968,-0.6476738807523026,-0.4588536195707154,-0.4563211393041376,0.04042255008505246,-0.5750931854600853,0.47447250731288976,-0.2624465139098389,-0.2591482135983916,-0.23411050512025436,-0.023402482401087117,-0.3467631563300006,0.5492830763009695,-0.15229797079719878,-0.24555352095244132,0.26769179148742656,-0.5944967507888905,-0.1330789333166565,-0.48860486767104805,-0.25507471866555187,-0.38182532050456675,0.12263879167790147,0.1524874825806323,0.4475174157356147,0.8272014207435054,0.1886719002846313,-0.14846245949917855,0.31416780554376084,-0.28934877340489124,-0.04017743765177909,-0.4175421994480216,-0.5802927438405525,0.43397725260469117,0.05560420944957913,0.12034412407215193,-0.39796171086779225,-0.3273942336816766,-0.5655392048782696,0.028351646759068917,-0.34091405973408573,-0.4493858927142781
ADA,-0.23848893311029948,-0.20867452763043448,1.0,-0.37982486690141587,-0.03827155188472145,-0.11788871648546037,0.7459587728075087,-0.0057907783026539955,-0.24487644063156855,-0.06975477781275095,-0.03806826083972526,-0.291439349837999,0.37870738329329323,0.0882099404044489,0.4630564185338136,-0.4688788192167491,0.4102708584041281,0.18458482359040354,0.6868944666360443,-0.33141857509257877,-0.4211899987766093,-0.4247959754400748,-0.17063039257433957,-0.23432745805276298,-0.35746681856785056,-0.16110128597878398,-0.38825252705069097,-0.040027675292376004,0.9051249199868264,-0.10589015660379926,-0.34677310818598567,-0.16910760649430287,-0.338352083011354,-0.46196063654195146,0.7073779424185235,-0.19276506802453097,-0.02097283456365168,-0.19431527862230835,-0.054988599127780986,-0.054988599127780986,-0.3447311872247736,0.5282239803804604,-0.18175419331870035,0.08393541932466114,-0.40610810771927114,0.25972963045897846,-0.10007325555680308,0.8631741925805846,0.48888477200343106,-0.14530042786242184,-0.18231820480346542,-0.3396340335233995,-0.30504201174359724,0.035132624869588805,0.13838572167071772,0.7630077392812926,-0.41663682877028535,0.1348862714195021,0.689064220760472,0.3377261189343636,0.6646267505936404,0.6434762498074466,-0.39643482649548056,-0.3262061363641436,0.23598192175346544,0.7865700691169878,0.0041395531664984815,0.24257448424540917,-0.2951216480738916,0.18893774812294217,-0.24020119321225142,0.582430833554,0.7471410453935341,-0.45480982195937136,-0.006843449569910136,0.3053274045730633,0.6014427539822128,0.8603826160824493,0.1813372068291258,0.31586603637529914,-0.16657029969886383,-0.17415168069292758,0.29437720474428586,0.26464274013923744,-0.08211258590788482,-0.1528323519376153,0.3759544789438673,-0.22690360024351788,0.3859176330332566,-0.27534101440604075,-0.1694058004841307,0.08245280557913433,0.42874617232474943,0.16747353907214912,0.21773617807021012,-0.29684476955797046,0.3479540991959564,-0.2257687334913314,0.7865710176019657,-0.22915728817848652,0.3474558269843046,-0.137852404203665,-0.25700059183487456,-0.21762954881734864,-0.0751263759630743,0.051503795516504955,-0.17111565772203816,0.18310124372639733,0.17926025879484075,0.5855666987139871,-0.38241465307374567,-0.21868248190483477,0.6906637727480849,-0.015310728660272225,0.20362828610295527,0.2605985009305237,0.32975559916679015,-0.04204636101518372,0.3387552329627264,0.2686643924767106
ALGO,-0.33742234886746236,-0.43505336465838185,-0.37982486690141587,1.0,-0.1719727621496841,0.4498648588574859,-0.3501748166747175,-0.12132792220055436,0.4531676857444596,0.550217288060355,-0.2627777118390168,-0.2189883088363017,-0.3916577544417897,-0.22538089202802083,-0.47387034876056616,0.622571199522537,-0.4347548733732303,-0.12752878861449818,0.12502362775916864,-0.24536218728175918,-0.1442151528804979,0.19808254059149977,0.6148305992583083,0.6247248096094105,-0.2267086731725461,0.1624170161839524,-0.037781944829350135,-0.06041675805894524,-0.34513555878462043,-0.24438897478519694,-0.23218882722663706,-0.20371349116034446,-0.1674976830836098,0.5243956502085076,-0.3912586329753028,0.5651196377678473,-0.0766627638322936,-0.1914178050526304,0.4352309250717713,0.4352309250717713,0.6376380940545825,-0.09692991750007104,-0.2941615544013549,-0.037767084605415446,0.8097079714570145,-0.3025436923071039,0.4315181517197409,-0.17166330752614067,0.4403584803234452,-0.3792190496852368,0.7371394233456258,0.6716270291423658,0.3829002309266602,0.06415070386222073,-0.09296790871389493,0.3263218113696303,0.6921847201923254,-0.35508159639705256,-0.2926374835207506,0.41317847399663027,-0.35326630477967635,-0.47805286710600625,0.26893717150639124,-0.07226094334219707,-0.1362535403959309,-0.37301597294957045,0.22509091983167137,-0.38227484965200725,0.4699189314496389,0.26752106277140203,0.5214441852383639,-0.10758893301048693,-0.3901252954004603,0.598690981230637,-0.33619063706982316,-0.3268711661600824,-0.28548236564184315,-0.14177991490035766,-0.4016781682170146,0.005440576290440296,0.6804057607844662,0.6507149486014671,-0.04934840830110593,-0.1592155679581447,0.749143182411856,-0.36966596947818414,0.3393407642741439,0.2856208779280201,-0.21497048180238587,0.04029665144254316,0.6250368260276645,-0.41014230213733377,-0.02990339602890594,-0.06638452640921035,-0.4601739340921873,0.7915587720843594,-0.06991645714224462,0.6539718933595888,-0.29554902527108895,0.4406766083179714,-0.5289894690167741,0.07891315573137199,-0.20479765272060035,-0.3496205870230788,-0.014799935896482892,0.11342238622325408,-0.01601916173533277,0.026413320445060215,0.05548097357544104,0.20549911993600525,0.7932613970696029,-0.282835346061059,-0.11082046427406995,-0.23909780942727776,-0.16058457017135555,-0.20312430406148707,0.22282353570056077,0.03458198363555701,-0.1481830694128441,0.3374209100818569
AMP,0.2297254336081756,0.2893156465601184,-0.03827155188472145,-0.1719727621496841,1.0,-0.2121130325038115,0.14802008448337983,0.08806450013999317,-0.370109319274421,-0.20630391962424877,0.13621924024947207,0.22061133496703447,0.11992063188973522,0.1937268823018407,0.004784337346035701,-0.025663521293117234,-0.04142354145379122,-0.018127770512532927,-0.3256385939979684,0.28258847859913894,0.21336971913909586,0.0078660059590537,-0.20002558822460115,-0.5328730235430343,0.2780783369953053,-0.18032528620899943,0.15548729127961483,0.05057532004360266,-0.004032243477888759,-0.10657852368310343,0.27598490448509716,0.08341691167538823,0.21515989401370944,-0.45750479058495663,-0.006233257278548139,-0.44231584943270635,0.25051766951463356,0.02990294529865855,-0.18620612607759954,-0.18620612607759954,-0.5265115890252429,-0.13066236121621624,0.22558554176850784,-0.1592085043815028,-0.20538872868243999,0.05362181790533003,-0.49456578051326633,-0.10224324593645488,-0.5250016188456973,0.18990836744055203,-0.5811309503632126,-0.14927411788582273,-0.017672916344993583,-0.06801215713079424,0.034515484204145845,-0.42071892598146815,-0.5614983973717431,0.25191644661891915,-0.06937544120573474,-0.6042548521315837,0.041508940625329074,0.01152734674169825,0.055128633932643924,0.058044691274044,-0.21775538892047838,-0.07255075479334958,-0.17353349540945098,0.03777792801855978,-0.07216465922659854,-0.1918954555611128,-0.47026459750537547,-0.06269150558207509,-0.027495745508624107,-0.49247306133137375,0.1628085635488797,0.20602841723804566,-0.10923632705898413,-0.13415019276627546,-0.138115445924601,-0.13274001082143025,-0.5974115403785004,-0.5076854237494022,-0.1492146844439084,-0.011342499407890163,-0.6454923951741325,0.2446626881875111,-0.49227792887648175,-0.05143665664090536,-0.06992193727934568,0.024304710819839412,-0.1393448701105525,0.29815720105788085,-0.19212126174835634,-0.021085414982401515,0.1409739571470927,-0.6261819409220847,-0.13297639635864392,-0.19448560791016722,-0.07352797346103514,-0.3889053503892549,0.052258622550644354,0.014129369394039568,0.40829027018273967,0.3064690037662448,0.04261085523424841,-0.15060631260771182,0.10649780135228504,-0.11876017046816856,-0.03391407635107341,-0.4315285464424645,-0.4934814242082093,0.21180868710044973,-0.05011177701354869,0.09778826336765874,-0.16122437477836576,-0.12051236163881048,-0.22288755523758919,0.025324393147749234,-0.14051572011009478,-0.5203968879180443
ANKR,-0.4779695195357727,-0.5193546379945365,-0.11788871648546037,0.4498648588574859,-0.2121130325038115,1.0,-0.3856217782728025,-0.30916873728062366,0.027348839380520684,0.6798896425204884,-0.4100223940272945,-0.37025690339133466,-0.17152334224880136,-0.33513546568748204,-0.14084798827303127,0.27423011427739835,-0.05614171275164799,-0.28301841065918054,0.17494898801197634,-0.4190509967956708,-0.5468369152316018,0.008430948506372259,0.4179724589323157,0.498489700354713,-0.51027496190791,0.6643815339649791,-0.38239197330819175,-0.09045078422530718,-0.07940286745893227,-0.03357966252843627,-0.4913558296710447,-0.45878048853169745,-0.4226733220919126,0.2133103169808266,-0.0931598070621963,0.6343542340309458,-0.26389939174419974,-0.07877880744383862,0.3346869964583615,0.3346869964583615,0.5146813930238641,0.19367803885179485,-0.4374682307499208,0.4433652827017039,0.6867787080683472,-0.29765728444587247,0.39120006700138815,-0.24305826689571874,0.40148402327443494,-0.43671908191972203,0.7467775377760674,0.4344255769835846,-0.17000019117671145,-0.07307146491340623,-0.2141722632292384,0.2374544702901408,0.3695853654070049,-0.3919751871231674,-0.01179500828165908,0.1285977555610658,-0.3755787450291598,-0.1913403371826965,-0.20872050795800567,-0.20696385993834301,0.4805696618133537,0.026123880198521295,0.5103181797274994,-0.16722653128620923,-0.04454859940092701,0.7968415753487932,0.20598896596484068,-0.24816062738517244,-0.14248053517401263,0.5221772037220676,-0.49612423848991455,-0.35848758529911673,0.2412520560570319,-0.19353409385372444,0.022978339057397268,-0.34040640041504205,0.8283928596940845,0.8691677270348498,0.5734489330085228,-0.26231816585182105,0.6600245808284803,-0.4404097639620255,0.27936023260489296,-0.04762731919843628,0.07578313555155496,-0.20756402222160356,0.38763843048343877,-0.12957147723599224,-0.08016648963463072,-0.18272630412982716,-0.3060625998022111,0.4982460491603305,-0.15613265816733896,0.8355025436622123,0.016938214373463593,0.2558686494302369,-0.2609698993970924,-0.16147972260266294,-0.16655167153221703,-0.4742126679357918,-0.22932127502741606,0.0751169668405805,-0.00927579590623118,0.3039187883921738,-0.011669496146643244,0.1602894961734048,0.7311524173641534,-0.28663042793851284,-0.2252318493855345,-0.2525929925459387,0.3510769818097735,0.23184447751091725,0.4528304991113047,-0.09301301258937303,0.2557110189274631,0.23850253633750756
APE,0.6759936211062568,0.21338699631087277,0.7459587728075087,-0.3501748166747175,0.14802008448337983,-0.3856217782728025,1.0,-0.3728487284130663,-0.32676529186304193,-0.4430838286808817,-0.23186580308432775,-0.016644857783464792,-0.040411819546491576,0.35526515964376987,-0.5640930090890224,-0.5167380493084123,-0.3618835512312169,0.7693788017189517,0.5635286765065285,0.06933160998347065,0.04945340285302252,-0.32092704171590997,-0.5231631813930053,-0.36603770989498785,0.22649318913910801,-0.4117146667182712,0.10397045000841787,0.37465921695066534,-0.02087400284250705,-0.4769068302859761,-0.028526528070865354,-0.11972254026335426,-0.16832811875875897,-0.5802404665138027,-0.10077347901159225,-0.31403646506131444,0.016822120981025136,-0.3920976199133914,-0.43703493024594003,-0.43703493024594003,-0.4742747811676197,-0.05166660550535356,0.7243798309970867,-0.3666139622212455,-0.5824318649784135,0.4377829233507346,-0.22246445797599557,0.8399964782602227,0.2627321344617683,0.513983293217329,-0.36513142337139093,-0.5636118950070882,-0.44852993967533333,0.7958869224579951,0.6230745470834015,0.5349072576694756,-0.5779853951247326,0.22086726530466655,0.8009541618902551,0.08375489759580028,0.705975936022746,0.6688571548583238,-0.39472374172128427,-0.31302729941028157,-0.4317731405335949,-0.5116888241661,-0.2605106258142487,0.6793538023732613,-0.4308417541055362,-0.424810581211799,-0.32650169000570894,0.7939606253234263,0.5015125108862486,-0.5636505362402406,-0.17807341308489374,0.35381707740970136,-0.21317401321432275,0.8040414867883856,-0.26091106125499175,0.22310021134819832,-0.42801231989618094,-0.3087025238722086,-0.31181619039371444,0.8135090768346224,-0.31016980655501314,0.08046813037706659,0.2711167377411875,-0.5203386853825116,0.23057039342466423,-0.3599585843067268,-0.3555852571306725,0.20599985488692318,0.46570796336697956,-0.44961641197793184,0.3333694660688156,-0.4834238205709678,0.3431896220499769,-0.4258708949060367,-0.14922241082822207,-0.32747782898809136,0.019071387296954245,0.5354550569131519,-0.15122529901251727,0.11656501907630652,0.5249083258016249,-0.0728786839591491,-0.011102184330506302,0.08070619825917383,0.10933882012747094,0.4170162097992431,-0.5367234466172314,-0.16207702044129982,0.8476311525683119,-0.2848831713716194,-0.37371916494329366,-0.3155667380134627,-0.3300207809772693,0.15788624913428495,0.7160009760362693,0.07322731575504905
AR,-0.16236912161304692,0.0057319918465255125,-0.0057907783026539955,-0.12132792220055436,0.08806450013999317,-0.30916873728062366,-0.3728487284130663,1.0,0.2488812208486279,-0.2199955492588787,0.5845887395779041,0.30197305224571885,0.22281914081363405,-0.1862753271639044,0.140408650383062,0.18438698496320055,0.003231613780113318,-0.23732045216527292,-0.548181166549508,0.04965230218938761,0.5734079232270509,0.29403730677666595,0.06808062427888135,-0.15540734896086067,0.30146750447773585,-0.1815915229641724,0.4070912642798398,-0.11574176753546767,0.09931703287829813,0.35769873390051293,0.3066076863827026,0.4796422913814894,0.44412415139111017,0.435634249435254,0.08421658989855262,-0.31812100640774454,0.15267515126527348,0.6952083484756065,-0.23972942486399917,-0.23972942486399917,-0.03561454817773344,-0.2595360431324147,-0.25836550495958394,-0.3264626861720146,-0.088402627773623,-0.3107079250707966,-0.19639095363063644,-0.3755102497806618,-0.543056863892913,-0.23600062706092353,-0.2649046601200285,0.16280338331794486,0.5514778723423153,-0.2532694028974592,-0.2622027810884551,-0.40649666888992436,0.24084318885437783,0.011055307654183057,-0.17256848821969428,-0.10001581040095986,-0.34981655918366855,0.0999522190580065,0.5813084841142399,0.33331408897007336,-0.27435689834039667,-0.037495696710566725,-0.4113122018293501,0.07056136538506536,0.35464828472765986,-0.24818787158491265,-0.019932798293662797,-0.38617558552465703,0.01711658779624508,0.21357928452932048,0.6370983817293855,-0.14103758857703386,-0.1718294753483582,-0.42752974411262706,-0.13009138801076947,-0.1873931738707419,-0.1474148518874971,-0.32817615455072413,-0.1879305765205507,-0.24617794159794573,-0.24634894682856778,0.18538732190627058,-0.5605759562224941,0.629905408891826,-0.16214038920818327,0.718419382135357,-0.16201749231313006,-0.2805839865862242,-0.2816620249329295,0.6252561309572675,0.05976429709997622,-0.025960925159349207,-0.21007119610631056,-0.28966239320500964,-0.13850333271873871,0.05883511960625895,0.02314534819222134,-0.07970060794927947,-0.08173377686562418,0.01503845665092886,-0.018762644541074208,0.005985321358448487,-0.0019865095453010066,-0.2551368865509641,-0.03625185845413648,-0.2848912278791947,-0.03149851456938167,0.23302698186538473,-0.41015433432323173,0.4348178592600105,-0.3151021257265392,-0.2288719044675228,-0.28923658038699723,0.04505356352480202,-0.3829304813407186,-0.2190492748696221
ASTR,-0.437752450231022,-0.4439061841158322,-0.24487644063156855,0.4531676857444596,-0.370109319274421,0.027348839380520684,-0.32676529186304193,0.2488812208486279,1.0,0.26875306861541404,-0.17683774970988847,-0.1572354999357044,-0.13686240803715716,-0.32646409859902004,0.7783664441907225,0.16616848728527664,0.09402449425132335,-0.2570227844095625,-0.28726682747263665,-0.32057256935304757,-0.07806247470566592,0.5287782855181327,0.5745935830981065,0.4674081733508885,-0.26492779112388737,0.05637748011571494,-0.13276850797457618,-0.23198232296080323,-0.07618824244434313,0.42783389087762885,-0.27502149980391294,0.601659641592085,-0.2035084053107417,0.7768788684140754,-0.15580134596692313,0.48396758475272644,-0.04206755529497793,0.33283245510811416,0.10625600610015835,0.10625600610015835,0.5501376927761721,-0.10862214268758617,-0.4390380895454943,-0.0339552627302691,0.5574821196906924,-0.3745078795359154,0.43243482965774777,-0.1971776663743993,-0.2380389849985326,-0.46355785710973946,0.2822405075381452,0.46369001933620185,0.7385211671389021,-0.26419015160264214,-0.20059675219723994,-0.2314359900424115,0.8357206218348218,-0.3168818924616445,-0.3189494292299823,0.5078758244293259,-0.3735279270700793,-0.18272257530261937,0.45727752998969917,0.664510474620197,0.33523478019309305,0.4356436784940639,-0.169667117813628,-0.31752438578372677,0.8002971001773108,0.04461988936210332,0.8772344270458957,-0.40049264082564406,-0.23727189805917165,0.46061836255841815,-0.15626438072830998,-0.34436025707264806,0.2708026370167981,-0.3046381817259069,0.3782911376241071,0.5181460955326812,0.17605699607259634,0.20111413727586788,0.03056420787271568,-0.29857747429796877,0.319200067298806,-0.3164228852486482,0.06767666890119864,0.45401941303994525,-0.16672891418302987,0.13901073875986425,0.15787974238573024,-0.2819789899039223,-0.05454854139546821,0.619687391958781,-0.37346701103308616,0.6291044985005436,0.17777201619469257,0.05978598628061463,-0.2747475571507765,0.5391192539578062,-0.15134710615414224,-0.1722938851221451,0.12414895455523645,-0.40204571207038947,-0.2733245909723197,0.01642596496057208,-0.09495997514646329,-0.0037979156627511485,-0.009290129749360356,-0.10064066669791684,0.28527619752105876,-0.1313943410992915,-0.33635977370451897,0.15330206255513149,0.11386355445083506,-0.08998466293357242,0.5301936580316666,-0.01089563276420314,-0.2956458598758173,0.36813536460069435
ATOM,-0.5471028851310114,-0.561475607760041,-0.06975477781275095,0.550217288060355,-0.20630391962424877,0.6798896425204884,-0.4430838286808817,-0.2199955492588787,0.26875306861541404,1.0,-0.37787129803143693,-0.3891881950307386,-0.10693242449583902,-0.28361516129592296,-0.16416073888227478,0.3458184033097009,-0.03780672537248661,-0.2606200874178276,-0.008107370240253865,-0.4488446520068235,-0.5049100127055373,0.22087248888144084,0.3395658828197806,0.7873247149311734,-0.5192326449231643,0.6246216565368589,-0.3781088268532061,-0.11238811199371261,-0.02334804008005564,-0.1377434752673063,-0.4841285441742158,-0.2329629702902403,-0.4252655988523312,0.43822256096303325,-0.04415890623426321,0.4873120453564768,-0.16087395660760778,-0.18025050527471426,0.4930090414519099,0.4930090414519099,0.7647101307720846,0.13885000458272098,-0.4807172912283274,0.3535629505699628,0.5876388074909648,-0.32417599373310796,0.5988653482010844,-0.2888825205085217,0.25641720342387947,-0.5090249520596214,0.8417378191640795,0.34337739122349165,-0.04944424909914983,-0.05119062615569891,-0.24653596043915396,0.09518998371516407,0.5571836170057931,-0.3422306234413856,0.05354427116009997,0.34647053861933924,-0.46655367458473085,-0.18546432714061742,-0.16284637942295194,-0.14648717875663286,0.3941192542806001,0.06495941298031435,0.49720851871431826,-0.17941523499748457,0.10545872262967398,0.7902514247848091,0.4328347133640412,-0.2858064237387369,-0.08371412843208127,0.5905169988178592,-0.45223038581474845,-0.3001640915092867,0.30217804323350156,-0.27514763059756236,-0.06243762639602243,-0.1529631547561758,0.8077663618199995,0.7022258387211391,0.5969582770769043,-0.23843613056598464,0.800316170120257,-0.49846469224377765,0.4846795819821892,0.04920634526650571,0.14007865460945038,-0.16162479030535226,0.7054476521152143,-0.12172745516896401,-0.2660305655000918,-0.1070357720362156,-0.2704408960337213,0.8644351553877773,-0.04081577341232401,0.6947942501182687,0.01417072148299234,0.42226312261559146,-0.26919711947697467,-0.10507961762890843,-0.08042612076360815,-0.48373320134482706,-0.23509820123786507,0.12101577938362663,-0.0682617972274141,0.3075485744171416,-0.020923365434691338,-0.03394802476571128,0.8455601659240237,-0.29132149778019817,-0.23767625371569664,-0.22688328307837669,0.35009716522873513,0.2554891378815577,0.49696507547540086,-0.09055462488412944,0.2798542243230176,0.31229703147436694
